time_s,FL_hip_joint_rad,FR_hip_joint_rad,RL_hip_joint_rad,RR_hip_joint_rad,FL_thigh_joint_rad,FR_thigh_joint_rad,RL_thigh_joint_rad,RR_thigh_joint_rad,FL_calf_joint_rad,FR_calf_joint_rad,RL_calf_joint_rad,RR_calf_joint_rad
0.0,0.13562723994255066,-0.11245208978652954,0.07458502799272537,-0.12939943373203278,0.6145343780517578,0.9958432912826538,0.9877868890762329,1.2952923774719238,-1.6411099433898926,-1.5437928438186646,-1.5349147319793701,-1.2565261125564575
0.019999999552965164,0.0963633731007576,-0.10202270746231079,0.04736130312085152,-0.09077906608581543,0.6200168132781982,0.8184653520584106,0.8661931753158569,1.1372079849243164,-1.5845203399658203,-1.301167607307434,-1.3335554599761963,-1.4899979829788208
0.03999999910593033,-0.01216245535761118,-0.05265216901898384,-0.04524916037917137,-0.0798802375793457,0.5720138549804688,0.6833113431930542,0.7276309728622437,0.8783619403839111,-1.571058750152588,-1.1184316873550415,-1.1356298923492432,-1.5450440645217896
0.05999999865889549,-0.0984291359782219,-0.050412632524967194,-0.11803089827299118,-0.048447348177433014,0.491931676864624,0.6754866242408752,0.627570390701294,0.6030473113059998,-1.4785850048065186,-1.1697150468826294,-0.9432697296142578,-1.4350649118423462
0.07999999821186066,-0.20337462425231934,-0.06274832040071487,-0.12584106624126434,-0.029438568279147148,0.4311826527118683,0.7021726369857788,0.6329545378684998,0.41650646924972534,-1.360495686531067,-1.2497421503067017,-0.9896355271339417,-1.4238955974578857
0.09999999776482582,-0.23198653757572174,-0.08399800211191177,-0.13925504684448242,-0.014673600904643536,0.42958590388298035,0.720350444316864,0.6366972923278809,0.29310083389282227,-1.408387303352356,-1.3100215196609497,-1.0313966274261475,-1.4220160245895386
0.11999999731779099,-0.2514636814594269,-0.100014328956604,-0.14808018505573273,-0.008091782219707966,0.4289184808731079,0.7295663952827454,0.6482383608818054,0.2534104287624359,-1.4241089820861816,-1.3308312892913818,-1.0637305974960327,-1.3765634298324585
0.13999999687075615,-0.2667970657348633,-0.11450222134590149,-0.1578558087348938,-0.014775854535400867,0.4301205277442932,0.7352723479270935,0.6648485064506531,0.2926422655582428,-1.4192434549331665,-1.3298511505126953,-1.0873394012451172,-1.3209846019744873
0.1599999964237213,-0.27799880504608154,-0.1263282746076584,-0.1678972989320755,-0.01981821097433567,0.43339574337005615,0.7406764626502991,0.6799925565719604,0.3759538531303406,-1.410245656967163,-1.3251304626464844,-1.10210120677948,-1.2654520273208618
0.17999999597668648,-0.2838936150074005,-0.1332051306962967,-0.17551760375499725,-0.011282858438789845,0.43910714983940125,0.7475034594535828,0.691828191280365,0.4730338156223297,-1.4062268733978271,-1.3251428604125977,-1.1105854511260986,-1.2201639413833618
0.19999999552965164,-0.2866792380809784,-0.13716526329517365,-0.18188554048538208,0.0008110149065032601,0.4473995566368103,0.7568894624710083,0.7011557221412659,0.5518018007278442,-1.4081023931503296,-1.3315401077270508,-1.1146354675292969,-1.2440745830535889
0.2199999950826168,-0.28361451625823975,-0.13502971827983856,-0.18355022370815277,0.010924366302788258,0.4590074419975281,0.7686989307403564,0.7088210582733154,0.5950580835342407,-1.418441891670227,-1.3442620038986206,-1.11675226688385,-1.2611631155014038
0.23999999463558197,-0.27625659108161926,-0.11643942445516586,-0.180801659822464,0.014744642190635204,0.47438743710517883,0.7823163866996765,0.7165562510490417,0.6048518419265747,-1.4347845315933228,-1.3733628988265991,-1.117496132850647,-1.269138216972351
0.25999999418854713,-0.2679593563079834,-0.0870775580406189,-0.1762920320034027,0.02038971334695816,0.4935779571533203,0.7842392325401306,0.7254160046577454,0.6185491681098938,-1.4545491933822632,-1.4427721500396729,-1.1169682741165161,-1.2801088094711304
0.2799999937415123,-0.2591972351074219,-0.045341067016124725,-0.17101022601127625,0.026794224977493286,0.5157584547996521,0.7404119968414307,0.734718918800354,0.6345009207725525,-1.4755452871322632,-1.5430421829223633,-1.1138231754302979,-1.2910782098770142
